rho,optimal_mean_deficit,uniform_mean_deficit,uniform_excess_vs_optimal_percent,gap1,gap2,gap3,gap4,gap5,gap6,success
0.35,0.1082579334348634,0.11447460697115387,5.7424646296531545,29.41308163652767,10.272387703170388,10.314659924937684,10.314661711603105,10.27235958964131,29.41284943411983,True
0.4,0.09914530117275558,0.10441189743589745,5.311997846438632,27.781619615845614,11.101610955440934,11.116768262965987,11.116767880303982,11.101613380455142,27.781619904988343,True
0.45,0.09099190439483033,0.09533397956730771,4.771935702803121,26.319455146171506,11.834221884765773,11.846346201018534,11.846350335487438,11.83421221843153,26.31941421412521,True
0.5,0.08365387217170354,0.08713942307692309,4.166634268961622,25.004052893855345,12.474189549493557,12.521771911786407,12.52177592883779,12.474185889053754,25.004023826973146,True
0.55,0.07701465500561984,0.07973562780448717,3.5330584791541053,23.813256522601336,13.085753832366787,13.101004004064471,13.101003581114805,13.085752102829,23.8132299570236,True
0.75,0.055769232122969775,0.05645908453525641,1.2369767092462736,20.001009974543866,14.995112328409885,15.00387701595179,15.003878955337045,14.995111879745023,20.00100984601239,True
1.0,0.03717948717948718,0.03717948717948718,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,True
